Order Date,Order ID,Account Group,PO Number,Order Quantity,Currency,Order Subtotal,Order Shipping & Handling,Order Tax,Order Promotion,Order Net Total,Order Status,Approver,Account User,Account User Email,Invoice Status,Total Amount,Invoice Due Amount,Invoice Issue Date,Invoice Due Date,Payment Reference ID,Payment Date,Payment Amount,Payment Instrument Type,Payment Identifier,Shipment Date,Shipment Status,Carrier Tracking #,Shipment Quantity,Shipping Address,Shipment Subtotal,Shipment Shipping & Handling,Shipment Promotion,Shipment Tax,Shipment Net Total,Carrier Name,Product Category,ASIN,Title,UNSPSC,Manufacturer,Brand Code,Brand,National Stock Number,Item model number,Part number,Product Condition,Company Compliance,Listed PPU,Purchase PPU,Item Quantity,Item Subtotal,Item Shipping & Handling,Item Promotion,Item Tax,Item Net Total,PO Line Item Id,Discount Program,Pricing Discount applied ($ off),Pricing Discount applied (% off),GL Code,Department,Cost Center,Project Code,Location,Custom Field 1,Seller Name
2020/04/10,503-9216605-6323058,Shimamin Test - Individual,,4,JPY,"24895","0","2490","0","27385",Closed,,shimamin_PBI,shimamin+PBItest@amazon.co.jp,N/A,N/A,N/A,N/A,N/A,="1572114004821491",2020/04/12,"1099",Mastercard,="5705",2020/04/12,Shipped,="420162367240",1,"松島南, 大田区池上4-28-15, XEBEC池上505, 146-0082, 東京都, JP","999","0","","100","1099",日本郵便ゆうパケット,Personal Computer,B00GFXFI1C,Cable Matters DisplayPort HDMI 変換アダプタ DP HDMI ディスプレイポート HDMI 変換アダプタ オス メス 1080P解像度対応 金メッキコネクタ搭載,="43000000",Cable Matters,,Cable Matters,,102018A,102018A,New,,"1990","999",1,"999","0","","100","1099",,Quantity pricing,="991",49.8%,,,,,,,Cable Matters Japan
2020/04/10,503-9216605-6323058,Shimamin Test - Individual,,4,JPY,"24895","0","2490","0","27385",Closed,,shimamin_PBI,shimamin+PBItest@amazon.co.jp,N/A,N/A,N/A,N/A,N/A,="1158403749121088",2020/04/14,"3481",Mastercard,="5705",2020/04/14,Shipped,DA0160775861,2,"松島南, 大田区池上4-28-15, XEBEC池上505, 146-0082, 東京都, JP","3164","0","","317","3481",Amazon,Personal Computer,B004W1KCCO,ロジクール キーボード ワイヤレス 無線 フルサイズ 薄型 テンキー付 耐水 静音設計 USB接続 3年間無償保証ボード Unifying対応レシーバー採用 K270,="43211706",Logicool(ロジクール),AAXAH,Logicool(ロジクール),,K270,K270,New,Preferred,"1347","1347",1,"1347","0","","135","1482",,,,,,,,,,,Amazon Business JP
2020/04/10,503-9216605-6323058,Shimamin Test - Individual,,4,JPY,"24895","0","2490","0","27385",Closed,,shimamin_PBI,shimamin+PBItest@amazon.co.jp,N/A,N/A,N/A,N/A,N/A,="1158403749121088",2020/04/14,"3481",Mastercard,="5705",2020/04/14,Shipped,DA0160775861,2,"松島南, 大田区池上4-28-15, XEBEC池上505, 146-0082, 東京都, JP","3164","0","","317","3481",Amazon,Personal Computer,B013XGK53E,Sabrent ミニ3ポートUSB 3.0／プレミアム・アルミニウム[90°/180°回転式] (HB-R3MC),="43211609",Sabrent,,Sabrent,,HB-R3MC,HB-R3MC,New,,"2879","1817",1,"1817","0","","182","1999",,,,,,,,,,,Store4PC-Japan
2020/04/10,503-9216605-6323058,Shimamin Test - Individual,,4,JPY,"24895","0","2490","0","27385",Closed,,shimamin_PBI,shimamin+PBItest@amazon.co.jp,N/A,N/A,N/A,N/A,N/A,="3879448470176923",2020/04/13,"22805",Mastercard,="5705",2020/04/13,Shipped,="386675907704",1,"松島南, 大田区池上4-28-15, XEBEC池上505, 146-0082, 東京都, JP","20732","0","","2073","22805",ヤマト運輸,Personal Computer,B07C6TPJ27,Dell モニター 23.8インチ S2419H(3年間交換保証/sRGB 99%/広視野角/フレームレス/スピーカー付/フルHD/IPS低反射/ブルーライト軽減/フリッカーフリー/HDMIx2),="43211900",Dell Computers,DELLK,Dell,,S2419H,S2419H,New,Preferred,"20941","20732",1,"20732","0","","2073","22805",,,,,,,,,,,Amazon Business JP
2020/04/06,250-2535278-9515818,momokosテストグループ 1,,1,JPY,"5546","0","555","0","6101",Closed,"momokos管理者",momokos管理者,momokos+PBItest@amazon.co.jp,Closed,"0","0",2020/05/01,2020/05/31,1VQT-RFX4-RCGL,2020/04/06,"6101",Pay by Invoice,,2020/04/06,Shipped,="567139444174",1,"momokos test, 仙台市青葉区一番町999-999, 980-0811, 宮城県, JP","5546","0","","555","6101",佐川急便,Health and Beauty,B00AF5SNRM,山善(YAMAZEN) 立ち上がり補助手すり ダークブラウン KRT-80(DBR),="53131600",山善,ABQMS,山善(YAMAZEN),,,na,New,,"5546","5546",1,"5546","0","","555","6101",,,,,,,,,,,くらしのｅショップ【全品送料無料】
2019/11/08,503-6369269-6675860,sasayukaテストグループ,,2,JPY,"1901","0","170","0","2071",Closed,"sasayuka",sasayuka,sasayuka+PBItest@amazon.co.jp,Closed,"0","0",2019/12/01,2019/12/31,11KJ-3NF4-K71V,2019/11/08,"2071",Pay by Invoice,,2019/11/08,Shipped,="443163070501",2,"1, 中頭郡読谷村字宇座, 1575, 904-0394, 沖縄県, JP","1901","0","","170","2071",ヤマト運輸,Grocery,B001TP6U3Q,サントリー ライム 780ml,="50000000",サントリー,AAWGT,サントリー,,,,New,,"1006","1006",1,"1006","0","","80","1086",,,,,,="1234",,,,,Amazon.co.jp
2019/11/08,503-6369269-6675860,sasayukaテストグループ,,2,JPY,"1901","0","170","0","2071",Closed,"sasayuka",sasayuka,sasayuka+PBItest@amazon.co.jp,Closed,"0","0",2019/12/01,2019/12/31,11KJ-3NF4-K71V,2019/11/08,"2071",Pay by Invoice,,2019/11/08,Shipped,="443163070501",2,"1, 中頭郡読谷村字宇座, 1575, 904-0394, 沖縄県, JP","1901","0","","170","2071",ヤマト運輸,Alcoholic Beverage,B0034XLAAY,ウィルキンソン ジン 47.5度 [ 720ml ],,アサヒビール,AAK8F,ウィルキンソン,,,,New,,"970","895",1,"895","0","","90","985",,,,,,="1234",,,,,Amazon.co.jp
2019/11/08,503-6369269-6675860,sasayukaテストグループ,,2,JPY,"1901","0","170","0","2071",Closed,"sasayuka",sasayuka,sasayuka+PBItest@amazon.co.jp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Alcoholic Beverage,B00A2K7XNU,グラハム ベック ブリュット グラハム・ベック ワインズ NV 発泡白 750ml,,グラハム・ベック ワインズ,,グラハム ベック ワインズ,,,,New,,"2200","0",0,"6600","0","","660","7260",,,,,,="1234",,,,,ワイン販売専門winecellar73
2019/09/30,249-8681380-8519059,001aikikuch,,1,JPY,"1690","250","0","0","1940",Closed,"2菊地テスト　ビジネス",菊地テスト　ビジネス,aikikuch+PBItest1@amazon.co.jp,Closed,"0","0",2019/11/01,2019/11/30,1NRK-13VY-PXYG,2019/10/01,"1940",Pay by Invoice,,2019/10/01,Shipped,,1,"063-0035, 札幌市西区西野五条1-1, 063-0035, 北海道, JP","1690","250","","0","1940",Royal Mail,Book,="1338219634",Lego Gadgets (Klutz),="60140000",Klutz Press,,,,="821963",="821963",New,,"1993","1690",1,"1690","250","","0","1940",,,,,,="1234",,,,,RAREWAVES-JP
2019/08/17,503-9050823-6884667,Test_PBI_JP_Prod,="08172019",2,JPY,"9366","0","749","0","10115",Closed,,B2B PBI Test,yookamot+1121@amazon.co.jp,N/A,N/A,N/A,N/A,N/A,4F48LZWS79JO,2019/08/17,"10115",American Express,="1005",2019/08/17,Shipped,DA0012367713,2,"岡本 裕治, 目黒区中町2-45-8, ザ目黒桜レジデンス514号室, 配送ラベル印字テスト, 153-0065, 東京都, JP","9366","0","","749","10115",ADP,Amazon Tablets,B07JQP28TN,Fire 7 タブレット (7インチディスプレイ) 16GB - Newモデル,="43211509",Amazon,AMDSJ,Amazon,,M8S26G,53-018629,New,Preferred,"5537","5260",1,"5260","0","","421","5681",,,,,,,,,,,Amazon Business JP
